path_or_pattern,kind,subsystem,decision,reason,group_rule_id,has_live_refs,notes
.DS_Store,file,metadata,remove-local,Finder metadata file with no simulation value.,,no,Safe local deletion.
AGENTS.md,file,docs,keep,Repository-local guidance for agents working in the active tree.,,n/a,"Treat as workflow metadata, not simulation content."
TrimDB_Build.m,file,trim_db,keep,Canonical controller-schedule builder and legacy import/rebuild path for the trim databases.,,manual,"Primary normal use is rebuilding controller_schedule from the canonical trim_attempts DB plus direct linearization_latest_file links; explicit CSV import is now recovery mode."
TrimDB_BackfillLinearizations.m,file,trim_db,archive-only,Legacy recovery path for regenerating missing linearizations from old run-local replay MAT/checkpoint content.,,manual,"Not part of the clean current workflow now that new searches write linked linearizationPoint artifacts directly."
TrimWorkspace_Clean.m,file,cleanup,keep,Current cleanup policy script for aggressively pruning generated trim-search residue.,,manual,Supports lean DB-only retention profiles.
Front_Propeller_Loads.m,file,physics,keep,Low-level propeller load helper likely consumed from model logic rather than plain-text call sites.,,model,Do not drop without checking model blocks.
Init_Main.m,file,core_runtime,keep,"Canonical initialization script that sets paths, aircraft constants, defaults, and output directories.",,yes,Root of the active initialize/trim/run path.
GROUP_WORKFLOW_GUIDE.html,file,docs,archive-only,HTML workflow guide is stale and references removed case folders and older helper names.,,no,Keep only in zip/archive if historical onboarding context is wanted.
Good Transitions,dir,demos,archive-only,"Folder is only a holding area for manual demo residue, not an active workflow dependency.",,no,Covered children follow GRP_DEMO_RESIDUE.
Good Transitions/*,group,demos,archive-only,Manual demo residue that depends on archived prep scripts and is not part of the current controller/database path.,GRP_DEMO_RESIDUE,no,Contains one-off demo video/output aliases only.
Plant.slx,file,models,keep,Active plant model in the current runtime/trim architecture.,,yes,One of the four primary source models.
TrimSearch_Preview.m,file,trim_search,keep,Preview tool for the surviving generic mid-band guide-grid trim search.,,manual,Useful before launching a new scored search.
TrimDB_Plot.m,file,plotting,keep,Canonical DB-native plotter for consolidated trim and controller databases.,,manual,Replaces ad hoc CSV plotting.
README.md,file,docs,keep,Top-level README has been rewritten as the current workflow handoff.,,n/a,Use this as the first teammate-facing overview.
Run_Main.m,file,core_runtime,keep,Primary runtime wrapper-prep and simulation entrypoint.,,yes,Consumes initData and trimResult and drives Wrapper.
TrimSearch_Run.m,file,trim_search,keep,Clean user-facing transition trim-search entrypoint that maps options into the current guide-grid engine.,,manual,"Normal users should call this instead of campaign-specific scripts."
TrimSearch_Engine.m,file,trim_search,keep,Internal guide-grid scored trim-search engine behind TrimSearch_Run.,,yes,"It appends directly into the canonical master attempt DB and writes linked linearizationPoint artifacts; run-local debug/checkpoint outputs are opt-in."
